Day fraction since midnight on 8/12/2019	UVA ()	Turb_settled ()	Turb_filter ()	UVT ()	Total Count settled ()	Bin 1 count settled ()	Bin 2 count settled ()	Bin 3 count settled ()	Bin 4 count settled ()	Bin 5 count settled ()	Bin 6 count settled ()	Total count filtered ()	Bin 1 count filtered  ()	Bin 2 count filtered ()	Bin 3 count filtered ()	Bin 4 count filtered ()	Bin 5 count filtered  ()	Bin 6 count filtered ()
Start																		
0.40385428	0.08399313	0.63934761	0.19062087	82.4440918	90	51	31	7	1	0	0	0.08399313	0	0	0	0	0	0
0.40391215	0.08399313	0.63934761	0.19062087	82.4440918	90	51	31	7	1	0	0	0.08399313	0	0	0	0	0	0
0.40397004	0.08399313	0.63934761	0.19062087	82.4440918	90	51	31	7	1	0	0	0.08399313	0	0	0	0	0	0
0.40402791	0.08399313	0.63934761	0.19062087	82.4440918	90	51	31	7	1	0	0	0.08399313	0	0	0	0	0	0
0.40408578	0.08399313	0.63934761	0.19062087	82.4440918	90	51	31	7	1	0	0	0.08399313	0	0	0	0	0	0
0.40414365	0.08399313	0.63934761	0.19062087	82.4440918	90	51	31	7	1	0	0	0.08399313	0	0	0	0	0	0
0.40420154	0.08399313	0.63934761	0.19062087	82.4440918	90	51	31	7	1	0	0	0.08399313	0	0	0	0	0	0
0.40425942	0.08399313	0.63934761	0.19062087	82.4440918	90	51	31	7	1	0	0	0.08399313	0	0	0	0	0	0
0.4043173	0.08319932	0.60674381	0.1895625	82.59490204	90	50	31	8	0	0	0	0.08319932	0	0	0	0	0	0
0.40437515	0.08319932	0.60674381	0.1895625	82.59490204	90	50	31	8	0	0	0	0.08319932	0	0	0	0	0	0
0.40443304	0.08319932	0.60674381	0.1895625	82.59490204	90	50	31	8	0	0	0	0.08319932	0	0	0	0	0	0
0.40449091	0.08319932	0.60674381	0.1895625	82.59490204	90	50	31	8	0	0	0	0.08319932	0	0	0	0	0	0
0.40454878	0.08319932	0.60674381	0.1895625	82.59490204	90	50	31	8	0	0	0	0.08319932	0	0	0	0	0	0
0.40460666	0.08319932	0.60674381	0.1895625	82.59490204	90	50	31	8	0	0	0	0.08319932	0	0	0	0	0	0
0.40466453	0.08319932	0.60674381	0.1895625	82.59490204	90	50	31	8	0	0	0	0.08319932	0	0	0	0	0	0
0.40472241	0.08319932	0.60674381	0.1895625	82.59490204	90	50	31	8	0	0	0	0.08319932	0	0	0	0	0	0
0.40478029	0.08319932	0.60674381	0.1895625	82.59490204	90	50	31	8	0	0	0	0.08319932	0	0	0	0	0	0
0.40483818	0.08319932	0.60674381	0.1895625	82.59490204	90	50	31	8	0	0	0	0.08319932	0	0	0	0	0	0
